Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Search Depth
smart meters,103,2.02,16.50%,12.02%,00:04:38,3.28
ujm,103,1.17,5.83%,11.57%,00:02:30,1.62
apprentices,102,1.26,6.86%,20.16%,00:03:02,3.67
disabled students allowance,102,1.14,1.96%,9.48%,00:03:20,4.13
Passport fee,102,1.06,4.90%,11.11%,00:02:05,1.77
prescription charges,102,1.31,30.39%,26.12%,00:01:58,1.85
single parent,102,1.32,18.63%,27.41%,00:04:07,3.49
social enterprise,102,1.50,5.88%,15.03%,00:04:36,3.45
V62 form,102,1.09,8.82%,22.52%,00:01:38,1.30
working abroad,102,1.27,12.75%,32.31%,00:03:37,4.29
air quality,101,1.42,15.84%,22.38%,00:03:33,2.60
healthcare,101,1.15,19.80%,41.38%,00:02:15,1.94
hpv,101,1.58,6.93%,17.50%,00:03:38,2.50
jobseeker's allowance,101,1.10,0.00%,28.83%,00:04:51,4.37
local offices,101,1.20,11.88%,30.58%,00:02:27,2.42
married couples pension,101,1.53,12.87%,21.94%,00:03:48,5.62
passport renewal form,101,1.21,8.91%,28.69%,00:04:10,4.20
provisional driving license,101,1.20,10.89%,18.18%,00:03:49,2.28
RHI,101,1.63,7.92%,16.97%,00:03:50,3.41
terrorism,101,1.27,9.90%,24.22%,00:03:49,2.89
volunteers,101,1.32,5.94%,33.08%,00:03:14,3.54
work permit,101,1.34,14.85%,36.30%,00:03:57,3.42
car registration,100,1.23,9.00%,30.89%,00:03:28,3.08
contact phone number,100,1.16,16.00%,30.17%,00:01:49,1.69
doh,100,1.26,14.00%,53.17%,00:01:59,2.10
lgv,100,1.29,12.00%,37.98%,00:04:41,2.97
passport photo,100,1.31,7.00%,12.98%,00:02:59,2.34
penalty points,100,1.22,4.00%,14.75%,00:04:28,4.58
shale gas,100,1.80,16.00%,11.67%,00:06:51,3.50
translation,100,1.44,5.00%,25.69%,00:03:48,3.21
travel expenses,100,1.27,18.00%,35.43%,00:03:12,3.71
travel grant,100,1.19,19.00%,24.37%,00:02:08,2.43
universal jobsmatch,100,1.20,2.00%,8.33%,00:03:05,1.72
america,99,1.21,15.15%,60.83%,00:01:38,1.62
apply online,99,1.13,11.11%,36.61%,00:02:12,1.86
azerbaijan,99,1.19,3.03%,39.83%,00:03:37,3.76
belize,99,1.26,3.03%,40.00%,00:02:05,3.08
copd,99,1.51,15.15%,18.79%,00:04:05,2.84
deaths,99,1.20,17.17%,27.73%,00:02:54,2.29
driving jobs,99,1.31,20.20%,10.77%,00:01:55,1.55
dvla phone number,99,1.22,11.11%,10.74%,00:03:21,1.96
Italy,99,1.14,8.08%,42.48%,00:02:05,3.35
itil,99,1.19,19.19%,8.47%,00:01:22,1.71
license,99,1.25,11.11%,55.65%,00:01:48,1.74
lost tax disc,99,1.21,7.07%,16.67%,00:02:39,2.55
pay a fine,99,1.10,3.03%,11.93%,00:03:04,2.23
receptionist,99,1.30,23.23%,13.18%,00:01:45,1.34
references,99,1.20,10.10%,21.01%,00:02:17,1.76
replacement driving licence,99,1.10,2.02%,10.09%,00:03:58,2.30
starting a business,99,1.31,6.06%,15.38%,00:05:44,5.47
Vietnam,99,1.16,4.04%,39.13%,00:02:48,3.12
WGA,99,1.27,3.03%,23.02%,00:03:32,2.14
Child passport,98,1.10,6.12%,24.07%,00:04:01,3.38
contact passport office,98,1.14,10.20%,21.43%,00:03:01,2.49
firearms,98,1.42,6.12%,25.18%,00:04:04,3.51
gov gateway,98,1.48,24.49%,14.48%,00:02:19,1.69
hc11,98,1.35,67.35%,16.67%,00:00:55,0.70
Holiday entitlement,98,1.10,1.02%,22.22%,00:04:31,4.65
Kenya,98,1.15,7.14%,36.28%,00:02:51,2.26
mauritius,98,1.15,3.06%,30.09%,00:03:44,4.27
over 70,98,1.17,1.02%,28.70%,00:04:22,3.45
personal allowance,98,1.28,11.22%,28.80%,00:01:57,2.33
prices,98,1.14,7.14%,41.07%,00:02:04,2.14
renew childs passport,98,1.11,6.12%,16.51%,00:03:21,4.20
school leaving age,98,1.33,13.27%,21.54%,00:02:48,2.23
UNIVERSAL CREDIT,98,1.30,11.22%,18.90%,00:03:39,4.13
V55/5,98,1.28,11.22%,20.00%,00:02:37,3.32
wales,98,1.18,23.47%,37.93%,00:01:49,1.99
atf,97,1.33,6.19%,23.26%,00:06:30,5.59
cafe,97,1.42,8.25%,23.91%,00:05:01,6.92
caravan,97,1.28,14.43%,30.65%,00:02:12,2.46
childs passport,97,1.19,9.28%,14.78%,00:03:23,3.71
Cv,97,1.11,73.20%,10.19%,00:00:48,0.45
dbs application,97,1.40,12.37%,27.21%,00:02:47,2.99
fuel allowance,97,1.30,5.15%,24.60%,00:04:04,4.79
funeral payments,97,1.34,4.12%,19.23%,00:05:40,5.39
hiv,97,1.51,19.59%,26.71%,00:03:01,3.02
oil,97,1.41,8.25%,28.47%,00:05:06,3.10
passport photos,97,1.22,5.15%,7.63%,00:02:53,2.27
pay court fine,97,1.10,2.06%,1.87%,00:04:48,2.02
personal licence,97,1.61,5.15%,18.59%,00:03:15,2.99
petition,97,1.22,15.46%,22.03%,00:00:51,1.27
tb,97,1.65,12.37%,24.38%,00:02:37,2.52
theory test centres,97,1.35,3.09%,9.16%,00:03:59,4.61
79(tri),96,1.17,13.54%,30.36%,00:03:51,3.42
check mot,96,1.23,4.17%,10.17%,00:03:41,2.23
clothing,96,1.34,10.42%,41.09%,00:03:47,4.31
dbs check,96,1.19,6.25%,17.54%,00:02:34,2.85
deprivation of liberty,96,1.49,10.42%,20.28%,00:02:37,2.19
essence of care,96,1.21,6.25%,14.66%,00:03:12,1.93
european health insurance,96,1.07,56.25%,22.33%,00:01:06,0.72
health promotion,96,1.35,16.67%,30.77%,00:03:53,2.48
HIV,96,1.67,25.00%,28.75%,00:02:34,2.22
how long,96,1.15,12.50%,43.64%,00:01:17,1.45
id card,96,1.24,16.67%,26.05%,00:02:17,2.75
maintenance,96,1.14,10.42%,29.36%,00:03:28,3.93
number plate,96,1.23,5.21%,20.34%,00:02:47,2.97
pension tracing service,96,1.29,5.21%,8.87%,00:02:58,2.14
personalisation,96,1.75,14.58%,29.17%,00:03:03,1.88
Practical driving test,96,1.15,5.21%,11.82%,00:02:06,2.12
premium service,96,1.30,4.17%,12.80%,00:03:11,4.41
Travel advice,96,1.15,6.25%,33.64%,00:03:13,3.30
universal credits,96,1.58,6.25%,16.45%,00:06:40,5.43
виза,96,1.08,17.71%,27.88%,00:01:24,1.98
5 a day,95,1.22,20.00%,54.31%,00:01:31,0.89
crag,95,1.43,12.63%,20.59%,00:02:28,1.92
crime,95,1.28,26.32%,26.23%,00:02:08,1.85
Driving,95,1.08,22.11%,32.04%,00:02:24,1.93
driving tests,95,1.17,8.42%,23.42%,00:03:48,3.44
gateway id,95,1.18,11.58%,8.93%,00:06:18,3.05
home energy monitor,95,2.80,23.16%,16.17%,00:03:12,2.80
HTM,95,1.82,15.79%,46.24%,00:03:42,2.94
money claims,95,1.19,13.68%,21.24%,00:03:24,2.80
national careers,95,1.11,82.11%,4.76%,00:01:58,0.71
nicaragua,95,1.24,4.21%,39.83%,00:03:18,3.40
P45,95,1.16,10.53%,33.64%,00:02:55,2.69
passport costs,95,1.14,1.05%,20.37%,00:01:21,2.01
photos,95,1.18,7.37%,18.75%,00:03:56,2.44
post office account,95,1.12,16.84%,16.98%,00:02:52,1.61
Power of attorney,95,1.06,10.53%,7.92%,00:04:41,4.62
Probate,95,1.13,10.53%,17.76%,00:04:43,5.22
Register,95,1.07,22.11%,36.27%,00:02:53,1.69
self employed sick pay,95,1.32,15.79%,31.20%,00:03:34,3.40
studentfinance,95,1.20,4.21%,5.26%,00:04:33,3.35
tax disk,95,1.11,8.42%,20.00%,00:02:09,1.51
Australia,94,1.21,7.45%,38.60%,00:02:39,3.14
book a driving test,94,1.09,5.32%,8.82%,00:02:32,1.78
change a practical test,94,1.09,0.00%,5.88%,00:01:41,1.34
Child tax credits,94,1.13,3.19%,19.81%,00:04:31,4.51
computer,94,1.17,34.04%,34.55%,00:01:24,1.51
contact address,94,1.13,17.02%,33.02%,00:02:19,1.87
deadline,94,1.12,8.51%,32.38%,00:01:26,2.26
end of life,94,1.35,7.45%,18.90%,00:02:50,2.35
fire risk assessment,94,1.29,9.57%,28.93%,00:03:52,2.82
flooding,94,1.45,31.91%,23.53%,00:02:09,2.10
Gateway,94,1.11,9.57%,18.27%,00:04:59,3.04
help line,94,1.20,14.89%,44.25%,00:02:06,1.74
ips,94,1.44,15.96%,23.70%,00:03:19,3.73
maternity benefit,94,1.23,3.19%,12.07%,00:05:09,7.76
media,94,1.30,13.83%,32.79%,00:01:45,2.21
medical questionnaire,94,1.40,8.51%,28.03%,00:05:04,4.40
medication,94,1.14,30.85%,40.19%,00:02:13,2.13
MMR,94,1.47,1.06%,21.01%,00:04:22,2.88
nea,94,1.39,13.83%,23.66%,00:03:18,2.74
passport interview,94,1.41,25.53%,9.02%,00:03:42,3.44
press releases,94,1.23,15.96%,37.93%,00:02:55,3.22
Russia,94,1.28,12.77%,45.83%,00:02:05,2.23
self certification,94,1.17,8.51%,35.45%,00:02:06,1.62
state pension age calculator,94,1.16,3.19%,11.01%,00:03:34,7.18
universal jobs,94,1.09,4.26%,7.84%,00:02:22,1.60
Bereavement,93,1.20,22.58%,27.68%,00:03:03,4.10
Birth certificate,93,1.18,7.53%,13.64%,00:02:14,2.25
blue badge scheme,93,1.30,5.38%,9.09%,00:02:43,2.68
criminal record,93,1.56,6.45%,23.45%,00:05:15,3.99
direct.gov,93,1.38,15.05%,29.69%,00:02:12,2.04
eesa,93,1.15,9.68%,53.27%,00:02:20,2.01
health insurance,93,1.27,30.11%,33.90%,00:02:47,1.62
honours list,93,1.17,5.38%,8.26%,00:03:02,2.63
income support number,93,1.30,9.68%,20.66%,00:02:29,2.90
Marriage,93,1.26,18.28%,27.35%,00:02:55,2.60
motorbike tax,93,1.16,3.23%,20.37%,00:02:18,1.76
shingles vaccine,93,1.75,7.53%,23.31%,00:03:34,3.16
signing off jsa,93,1.20,17.20%,34.82%,00:02:00,2.42
south korea,93,1.15,4.30%,45.79%,00:03:00,3.30
tuberculosis,93,1.63,13.98%,17.11%,00:03:17,3.11
uzbekistan,93,1.23,5.38%,38.60%,00:03:01,3.08
2nd passport,92,1.15,27.17%,32.08%,00:03:09,2.59
aviation,92,1.35,5.43%,29.03%,00:03:20,2.90
bosnia,92,1.16,2.17%,47.66%,00:01:52,3.18
Budgeting loans,92,1.12,6.52%,19.42%,00:02:54,4.47
Calculator,92,1.10,9.78%,22.77%,00:02:59,3.09
car check,92,1.13,5.43%,14.42%,00:03:18,3.02
changing name,92,1.17,8.70%,14.81%,00:02:41,2.36
Crisis loans,92,1.24,11.96%,17.54%,00:03:46,4.57
d2 form,92,1.25,10.87%,20.87%,00:02:45,2.93
Dubai,92,1.12,10.87%,32.04%,00:02:56,3.79
flu,92,1.26,15.22%,39.66%,00:03:21,1.83
key worker,92,1.18,34.78%,42.20%,00:00:54,0.93
location,92,1.16,23.91%,31.78%,00:01:13,1.49
make a sorn,92,1.07,2.17%,5.10%,00:02:55,1.68
malaria,92,1.50,25.00%,23.91%,00:01:56,1.68
mileage,92,1.35,19.57%,33.06%,00:02:30,2.17
p87,92,1.34,11.96%,29.27%,00:02:15,3.50
poverty,92,1.41,18.48%,30.00%,00:03:02,2.39
sales,92,1.23,14.13%,24.78%,00:03:25,3.54
sierra leone,92,1.20,6.52%,40.00%,00:03:50,3.46
SMP1,92,1.21,2.17%,21.62%,00:04:53,4.30
teaching assistant,92,1.17,36.96%,13.89%,00:01:53,1.48
change of adress,91,1.22,8.79%,26.13%,00:03:54,2.30
claim jobseekers,91,1.15,5.49%,15.24%,00:03:29,3.15
continuing care,91,1.35,17.58%,29.27%,00:02:28,1.89
council,91,1.16,10.99%,33.96%,00:00:53,1.21
dual nationality,91,1.46,15.38%,29.32%,00:03:18,2.64
early years,91,1.46,25.27%,19.55%,00:02:26,1.98
honduras,91,1.25,2.20%,43.86%,00:02:15,3.07
Job vacancies,91,1.10,29.67%,10.00%,00:01:14,1.30
Loan,91,1.12,15.38%,16.67%,00:03:29,3.55
local authorities,91,1.21,8.79%,32.73%,00:01:46,1.49
speech,91,1.43,14.29%,30.00%,00:04:11,4.16
stolen passport,91,1.24,5.49%,12.39%,00:04:13,4.20
tax office,91,1.24,19.78%,47.79%,00:01:54,1.42
24 advanced learning loan,90,1.19,6.67%,4.67%,00:03:02,3.56
angola,90,1.27,5.56%,33.33%,00:02:19,2.51
Apostille,90,1.29,23.33%,26.72%,00:06:01,3.48
attendance,90,1.21,4.44%,24.77%,00:03:03,3.44
CHANGE ADDRESS,90,1.16,3.33%,15.38%,00:04:19,2.46
charity,90,1.22,10.00%,28.18%,00:03:56,3.17
DEFRA,90,1.23,10.00%,26.13%,00:03:56,4.19
justice,90,1.14,10.00%,32.04%,00:03:09,3.00
kazakhstan,90,1.19,6.67%,39.25%,00:02:47,3.36
licence finder,90,1.16,2.22%,72.12%,00:02:43,3.16
lifelong learning,90,1.27,37.78%,13.16%,00:01:27,1.31
nationality,90,1.11,25.56%,42.00%,00:02:29,2.21
offices,90,1.11,13.33%,48.00%,00:01:15,1.69
rapid reclaims,90,1.40,5.56%,18.25%,00:04:44,4.46
Renew child passport,90,1.07,5.56%,21.88%,00:03:40,3.33
smi,90,1.20,3.33%,20.37%,00:04:07,5.56
Tanzania,90,1.16,2.22%,43.27%,00:02:17,2.76
venezuela,90,1.28,7.78%,40.87%,00:02:32,2.79
Afghanistan,89,1.19,3.37%,56.60%,00:02:23,2.33
armenia,89,1.15,5.62%,42.16%,00:02:14,2.46
BLUE BADGE,89,1.22,4.49%,7.34%,00:03:09,2.43
continuation sheet dbs,89,1.04,5.62%,19.35%,00:01:23,1.98
council tax reduction,89,1.26,4.49%,16.07%,00:04:36,4.06
DBS form,89,1.22,11.24%,25.69%,00:02:20,2.82
digital tachograph,89,1.34,5.62%,17.65%,00:03:59,3.36
driver health,89,1.16,7.87%,27.18%,00:03:03,4.07
driving lessons,89,1.20,14.61%,24.30%,00:02:00,2.54
electoral roll,89,1.19,12.36%,12.26%,00:00:59,2.10
employment support,89,1.11,1.12%,28.28%,00:05:05,4.39
esa3,89,1.21,17.98%,28.70%,00:03:58,3.69
first adult passport,89,1.13,6.74%,23.76%,00:02:53,3.24
foreign travel,89,1.18,6.74%,31.43%,00:02:04,3.43
healthy eating,89,1.55,17.98%,25.36%,00:05:33,2.84
iass,89,1.63,3.37%,19.31%,00:03:45,2.91
intern,89,1.13,15.73%,30.69%,00:02:49,2.39
Job centre,89,1.09,30.34%,19.59%,00:01:05,1.29
madagascar,89,1.20,6.74%,32.71%,00:03:11,2.53
maintenance grant,89,1.34,11.24%,12.61%,00:05:49,5.42
netherlands,89,1.28,5.62%,41.23%,00:04:58,4.65
PENSION FORECAST,89,1.27,3.37%,12.39%,00:03:35,3.19
pregnancy book,89,1.36,20.22%,28.10%,00:02:13,2.56
SSP1,89,1.17,8.99%,23.08%,00:02:31,2.82
Statutory sick pay,89,1.21,6.74%,17.59%,00:04:16,4.57
UFO,89,1.33,14.61%,5.08%,00:02:30,2.25
adult education,88,1.25,10.23%,16.36%,00:04:27,4.16
agency workers,88,1.15,6.82%,13.86%,00:03:54,4.97
blue badges,88,1.19,5.68%,11.43%,00:02:34,2.03
bus,88,1.18,17.05%,36.54%,00:03:00,3.56
certificate of good conduct,88,1.30,37.50%,25.44%,00:03:50,1.90
cis,88,1.24,5.68%,22.02%,00:03:00,2.50
COUNCIL TAX,88,1.25,5.68%,9.09%,00:03:53,2.93
court fees,88,1.33,3.41%,39.32%,00:03:24,2.39
dbs checks,88,1.23,7.95%,27.78%,00:04:11,3.35
digi card,88,1.26,4.55%,16.22%,00:03:28,2.97
evidence,88,1.14,15.91%,48.00%,00:01:40,1.61
government gateway account,88,1.16,3.41%,17.65%,00:04:11,2.38
health care,88,1.24,19.32%,49.54%,00:01:39,1.41
hotmail.co.uk,88,2.11,38.64%,12.37%,00:04:40,1.11
identity,88,1.28,10.23%,35.40%,00:02:42,2.47
lay off,88,1.09,5.68%,25.00%,00:04:42,3.18
norway,88,1.16,3.41%,51.96%,00:02:43,3.17
renew driving license,88,1.09,2.27%,8.33%,00:04:21,1.95
right of abode,88,1.40,18.18%,17.07%,00:03:57,2.95
risk management,88,1.49,17.05%,40.46%,00:04:10,2.68
road signs,88,1.85,9.09%,17.79%,00:05:16,4.34
uniform,88,1.23,9.09%,42.59%,00:02:43,3.15
Universal jobmatch,88,1.15,2.27%,9.90%,00:03:20,1.49
benefit rates,87,1.38,16.09%,39.17%,00:02:44,2.72
CRB check,87,1.32,5.75%,18.26%,00:04:22,3.74
csa calculator,87,1.05,3.45%,9.89%,00:03:59,6.34
DBS update service,87,1.71,22.99%,10.07%,00:04:52,3.31
driving licence renewal,87,1.21,2.30%,15.24%,00:05:10,2.70
gcse,87,1.21,21.84%,23.81%,00:03:04,2.51
gross misconduct,87,1.29,11.49%,26.79%,00:02:16,3.15
guidance notes,87,1.17,8.05%,62.75%,00:02:15,2.31
hardship fund,87,1.38,13.79%,30.83%,00:03:00,2.94
HOUSING BENEFIT,87,1.21,4.60%,19.05%,00:06:00,4.59
iceland,87,1.20,5.75%,39.42%,00:02:41,3.49
MINIMUM WAGE,87,1.24,6.90%,12.04%,00:01:53,3.08
pcv,87,1.36,11.49%,30.51%,00:03:52,3.37
pension credit calculator,87,1.20,3.45%,15.38%,00:04:37,3.56
putting people first,87,1.26,32.18%,29.09%,00:02:22,1.34
register for self employment,87,2.15,90.80%,1.07%,00:08:18,0.32
service records,87,1.31,4.60%,23.68%,00:04:20,2.32
spouse visa,87,1.24,21.84%,28.70%,00:02:28,2.09
TAX CREDITS,87,1.15,4.60%,22.00%,00:02:46,2.78
trailers,87,1.22,8.05%,25.47%,00:04:16,3.93
VOSA,87,1.23,13.79%,24.30%,00:02:35,2.17
a,86,1.37,22.09%,42.37%,00:01:13,1.36
birmingham,86,1.21,27.91%,20.19%,00:01:40,2.20
care home,86,1.23,27.91%,33.02%,00:02:18,1.97
carer allowance,86,1.12,2.33%,15.62%,00:06:49,5.58
childcare grant,86,1.15,1.16%,22.22%,00:04:23,4.92
Cpc,86,1.14,9.30%,9.18%,00:03:21,3.00
current vacancies,86,1.47,23.26%,12.70%,00:01:34,2.36
dbs news,86,1.36,9.30%,23.08%,00:04:25,4.13
diversity,86,1.47,15.12%,32.54%,00:03:17,2.51
fire service,86,1.30,18.60%,38.39%,00:02:34,2.85
form finder,86,1.17,3.49%,21.78%,00:02:40,3.73
green book immunisation,86,1.19,3.49%,15.69%,00:03:27,2.42
legalization,86,1.41,8.14%,44.63%,00:03:47,3.50
music,86,1.30,18.60%,32.14%,00:03:43,2.10
pet passports,86,1.19,9.30%,19.61%,00:02:39,3.01
pet travel scheme,86,1.24,5.81%,16.82%,00:05:49,4.57
renewable energy,86,1.31,17.44%,22.12%,00:04:29,3.17
severe disablement allowance,86,1.41,5.81%,19.01%,00:04:54,4.48
Singapore,86,1.13,5.81%,31.96%,00:02:37,3.29
somaliland,86,1.77,12.79%,18.42%,00:02:51,2.85
activation code,85,1.13,3.53%,30.21%,00:07:29,5.35
ADVERTISE A JOB,85,1.24,4.71%,6.67%,00:02:44,1.96
care bill,85,1.51,12.94%,20.31%,00:05:54,4.05
certificate of no impediment,85,1.85,5.88%,18.47%,00:06:00,5.13
criminal record check,85,1.22,16.47%,22.12%,00:03:45,2.95
eyfs,85,1.42,7.06%,17.36%,00:03:38,2.89
getting married abroad,85,1.26,3.53%,32.71%,00:07:19,4.92
Holiday pay,85,1.35,3.53%,13.91%,00:04:14,4.80
lunch breaks,85,1.12,5.88%,24.21%,00:03:37,4.36
medical card,85,1.29,35.29%,42.73%,00:01:46,0.88
phe,85,1.13,2.35%,17.71%,00:03:15,3.85
postal address,85,1.14,15.29%,40.21%,00:01:42,2.28
prison,85,1.32,8.24%,33.04%,00:04:32,3.76
residence order,85,1.44,23.53%,27.05%,00:03:15,3.59
residency,85,1.18,18.82%,46.00%,00:02:32,1.53
rotarix,85,1.36,5.88%,12.93%,00:02:55,3.58
speed,85,1.38,10.59%,22.22%,00:03:09,3.09
ssp1 form,85,1.32,9.41%,15.18%,00:02:52,4.07
stopping distance,85,1.35,9.41%,18.26%,00:03:36,4.35
thoery test,85,1.21,2.35%,17.48%,00:02:41,1.67
tv license,85,1.26,8.24%,8.41%,00:02:06,2.14
ambassador,84,1.29,10.71%,36.11%,00:01:46,2.02
apply for a badge,84,1.08,0.00%,6.59%,00:01:28,1.65
Book driving test,84,1.08,1.19%,7.69%,00:03:28,2.06
botswana,84,1.12,5.95%,61.70%,00:02:26,2.42
careers advice,84,1.33,38.10%,8.04%,00:01:47,1.43
crc,84,1.37,8.33%,20.00%,00:03:27,2.83
declare sorn,84,1.12,8.33%,11.70%,00:01:43,1.57
dla form,84,1.29,2.38%,15.74%,00:03:26,5.13
equality and diversity,84,1.45,14.29%,31.15%,00:03:37,3.31
fuel poverty,84,1.55,10.71%,19.23%,00:03:49,3.54
funeral costs,84,1.21,7.14%,17.65%,00:03:37,4.15
Green deal,84,1.21,7.14%,17.65%,00:05:00,3.67
health insurance card,84,1.13,44.05%,35.79%,00:01:06,0.50
hm treasury,84,1.11,4.76%,38.71%,00:04:01,4.89
ID,84,1.10,25.00%,41.30%,00:01:24,1.10
liverpool passport office,84,1.25,13.10%,21.90%,00:02:25,2.60
looked after children,84,1.45,17.86%,30.33%,00:04:06,2.11
Malaysia,84,1.19,2.38%,40.00%,00:03:37,3.64
ministry of defence,84,1.23,9.52%,30.10%,00:03:57,3.30
Paternity,84,1.17,8.33%,15.31%,00:03:42,4.02
widow pension,84,1.32,16.67%,25.23%,00:05:16,5.54
cameroon,83,1.20,1.20%,41.00%,00:03:43,2.53
care assistant,83,1.20,31.33%,20.00%,00:00:59,1.45
Child maintenance,83,1.22,10.84%,12.87%,00:06:12,3.17
Continuation sheet,83,1.11,2.41%,13.04%,00:00:44,1.41
czech republic,83,1.10,4.82%,49.45%,00:02:39,2.47
Employment support allowance,83,1.25,9.64%,20.19%,00:04:01,5.11
energy bill,83,1.40,10.84%,14.66%,00:04:51,3.07
fire safety guides,83,1.39,9.64%,13.91%,00:03:16,3.42
married couple pension,83,1.41,10.84%,14.53%,00:04:47,5.67
maternity matters,83,1.20,31.33%,27.00%,00:01:10,1.55
MOD,83,1.24,8.43%,28.16%,00:03:08,2.65
morrocco,83,1.12,4.82%,75.27%,00:01:20,1.88
namibia,83,1.13,4.82%,48.94%,00:02:19,3.52
Peru,83,1.29,7.23%,38.32%,00:02:22,3.17
resignation,83,1.53,6.02%,18.11%,00:03:14,3.94
sponsor signature form,83,1.31,7.23%,27.52%,00:05:25,6.73
student finace,83,1.19,1.20%,16.16%,00:03:11,3.40
tax car,83,1.04,4.82%,9.30%,00:03:47,1.71
track my passport,83,1.34,9.64%,12.61%,00:02:03,2.99
translators,83,1.29,4.82%,31.78%,00:03:28,2.55
asda,82,1.29,28.05%,23.58%,00:01:37,2.07
badger cull,82,1.84,24.39%,11.92%,00:04:07,2.62
broadband,82,1.74,13.41%,18.18%,00:03:36,3.23
c2 form,82,1.21,9.76%,31.31%,00:03:30,4.44
Cambodia,82,1.24,4.88%,43.14%,00:02:49,2.76
carers allowence,82,1.23,3.66%,17.82%,00:05:29,5.24
Child care,82,1.02,23.17%,40.48%,00:01:57,2.07
commodity code,82,1.12,3.66%,47.83%,00:02:48,4.90
death certificate,82,1.23,6.10%,20.79%,00:05:28,4.13
debt management,82,1.45,19.51%,17.65%,00:01:55,2.57
deceased,82,1.30,8.54%,28.97%,00:04:26,4.15
employment legislation,82,1.40,35.37%,29.57%,00:03:18,2.34
erdf,82,1.32,13.41%,19.44%,00:02:38,2.27
expenses,82,1.41,13.41%,34.48%,00:03:23,3.45
gl24 form,82,1.27,8.54%,14.42%,00:05:07,3.88
heating,82,1.30,6.10%,25.23%,00:04:59,6.06
higher education,82,1.28,9.76%,25.71%,00:02:23,3.28
Jordan,82,1.30,4.88%,33.64%,00:03:07,3.35
local government,82,1.28,6.10%,41.90%,00:02:38,2.76
lodger,82,1.18,32.93%,4.12%,00:02:49,3.26
mongolia,82,1.12,8.54%,39.13%,00:02:51,3.21
online application,82,1.11,14.63%,42.86%,00:02:05,2.05
opt out,82,1.10,10.98%,36.67%,00:01:51,3.01
redundency,82,1.52,10.98%,16.80%,00:05:49,6.63
replacement licence,82,1.17,7.32%,20.83%,00:05:38,2.09
sickness benefits,82,1.37,4.88%,23.21%,00:06:01,5.27
sign up,82,1.10,20.73%,23.33%,00:02:18,2.37
south sudan,82,1.27,7.32%,31.73%,00:03:46,2.59
tourist visa,82,1.15,29.27%,26.60%,00:01:05,1.24
tractor test,82,1.27,3.66%,17.31%,00:03:44,4.44
advanced learning loan,81,1.19,0.00%,5.21%,00:03:27,4.02
basic state pension,81,1.25,4.94%,27.72%,00:04:17,4.67
bfpo,81,1.48,13.58%,11.67%,00:02:49,2.21
blue badge application,81,1.20,6.17%,10.31%,00:02:10,1.91
budget 2012,81,1.25,17.28%,23.76%,00:03:25,3.58
child passport renewal,81,1.17,6.17%,28.42%,00:03:05,3.21
Corporate responsibility,81,1.32,69.14%,8.41%,00:03:03,1.01
crime statistics,81,1.21,14.81%,18.37%,00:03:21,3.12
fishing,81,1.37,16.05%,20.72%,00:02:40,2.10
freedom of information act,81,1.33,23.46%,18.52%,00:04:21,4.30
gibraltar,81,1.31,19.75%,27.36%,00:01:53,2.38
glasses,81,1.17,13.58%,50.53%,00:02:16,1.96
household income,81,1.25,14.81%,21.78%,00:03:24,4.15
Housing,81,1.25,7.41%,35.64%,00:04:21,3.85
indefinite leave to remain,81,1.49,20.99%,33.88%,00:02:04,2.17
joint claim,81,1.11,11.11%,37.78%,00:03:22,2.80
jsp,81,1.44,14.81%,47.86%,00:04:05,3.58
Lebanon,81,1.11,6.17%,31.11%,00:03:07,1.98
licences,81,1.32,7.41%,49.53%,00:04:45,3.09
limited capability for work questionnaire,81,1.32,11.11%,29.91%,00:02:46,2.52
marmaris,81,1.36,24.69%,8.18%,00:02:49,2.67
Mental health,81,1.48,17.28%,25.83%,00:04:17,2.98
moving,81,1.10,14.81%,50.56%,00:02:02,2.02
NATIONAL INSURANCE,81,1.11,4.94%,15.56%,00:02:41,4.09
policy,81,1.23,18.52%,42.00%,00:01:45,2.01
redundancies,81,1.48,6.17%,17.50%,00:04:27,5.57
sick notes,81,1.30,3.70%,20.00%,00:03:16,3.67
social fund loans,81,1.14,6.17%,22.83%,00:03:27,4.68
splenectomy,81,1.58,22.22%,24.22%,00:02:44,2.84
Statutory Maternity Pay,81,1.43,2.47%,17.24%,00:06:12,6.51
statutory redundancy,81,1.28,3.70%,14.42%,00:04:21,6.65
taxi test,81,1.33,3.70%,13.89%,00:05:49,4.14
track passport application,81,1.25,7.41%,10.89%,00:02:12,2.44
warm home discount,81,1.30,4.94%,11.43%,00:05:21,5.27
WORKING TAX CREDIT,81,1.14,3.70%,13.04%,00:03:57,3.35
www.gov.uk/taxdisc,81,1.25,4.94%,8.91%,00:03:54,1.94
drivers licence,80,1.08,8.75%,23.26%,00:03:52,3.28
E11,80,1.11,10.00%,73.03%,00:00:53,1.09
energy performance certificate,80,1.30,13.75%,13.46%,00:03:33,2.70
eye test,80,1.20,31.25%,39.58%,00:01:27,1.36
fixed penalty,80,1.46,1.25%,29.06%,00:02:39,3.29
job advertising,80,1.18,1.25%,11.70%,00:02:52,2.38
kuwait,80,1.11,8.75%,34.83%,00:01:57,2.68
lanzarote,80,1.28,17.50%,49.02%,00:02:16,3.74
